grid_code,min_lon,max_lon,min_lat,max_lat,intersects_manhattan,has_sensor,sensor_list
7@24,-73.97353000000001,-73.96353,40.892916500000005,40.9029165,False,True,[186091]
8@0,-73.96353,-73.95353,40.6529165,40.6629165,False,True,[182105]
8@1,-73.96353,-73.95353,40.6629165,40.6729165,False,False,[]
8@2,-73.96353,-73.95353,40.67291650000001,40.682916500000005,False,False,[]
8@3,-73.96353,-73.95353,40.682916500000005,40.6929165,False,False,[]
8@4,-73.96353,-73.95353,40.6929165,40.7029165,False,False,[]
8@5,-73.96353,-73.95353,40.7029165,40.7129165,False,False,[]
8@6,-73.96353,-73.95353,40.712916500000006,40.722916500000004,False,False,[]
8@7,-73.96353,-73.95353,40.722916500000004,40.7329165,True,True,[49363]
8@8,-73.96353,-73.95353,40.7329165,40.7429165,True,True,"[202009, 202015]"
8@9,-73.96353,-73.95353,40.74291650000001,40.752916500000005,True,False,[]
8@10,-73.96353,-73.95353,40.752916500000005,40.7629165,True,False,[]
8@11,-73.96353,-73.95353,40.7629165,40.7729165,True,False,[]
8@12,-73.96353,-73.95353,40.7729165,40.7829165,True,False,[]
8@13,-73.96353,-73.95353,40.782916500000006,40.792916500000004,True,False,[]
8@14,-73.96353,-73.95353,40.792916500000004,40.8029165,True,False,[]
8@15,-73.96353,-73.95353,40.8029165,40.8129165,True,False,[]
8@16,-73.96353,-73.95353,40.8129165,40.8229165,True,True,[188651]
8@17,-73.96353,-73.95353,40.822916500000005,40.8329165,True,False,[]
8@18,-73.96353,-73.95353,40.8329165,40.8429165,False,False,[]
8@19,-73.96353,-73.95353,40.8429165,40.8529165,False,False,[]
8@20,-73.96353,-73.95353,40.852916500000006,40.862916500000004,False,False,[]
8@21,-73.96353,-73.95353,40.862916500000004,40.8729165,False,False,[]
8@22,-73.96353,-73.95353,40.8729165,40.8829165,False,False,[]
8@23,-73.96353,-73.95353,40.8829165,40.8929165,False,False,[]
8@24,-73.96353,-73.95353,40.892916500000005,40.9029165,False,False,[]
9@0,-73.95353,-73.94353,40.6529165,40.6629165,False,True,[198733]
9@1,-73.95353,-73.94353,40.6629165,40.6729165,False,False,[]
9@2,-73.95353,-73.94353,40.67291650000001,40.682916500000005,False,False,[]
9@3,-73.95353,-73.94353,40.682916500000005,40.6929165,False,False,[]
9@4,-73.95353,-73.94353,40.6929165,40.7029165,False,False,[]
9@5,-73.95353,-73.94353,40.7029165,40.7129165,False,False,[]
9@6,-73.95353,-73.94353,40.712916500000006,40.722916500000004,False,True,"[178413, 147661, 101523]"
9@7,-73.95353,-73.94353,40.722916500000004,40.7329165,False,True,[202003]
9@8,-73.95353,-73.94353,40.7329165,40.7429165,False,False,[]
9@9,-73.95353,-73.94353,40.74291650000001,40.752916500000005,False,False,[]
9@10,-73.95353,-73.94353,40.752916500000005,40.7629165,True,False,[]
9@11,-73.95353,-73.94353,40.7629165,40.7729165,True,True,[189061]
9@12,-73.95353,-73.94353,40.7729165,40.7829165,True,False,[]
9@13,-73.95353,-73.94353,40.782916500000006,40.792916500000004,True,True,"[178729, 91415]"
9@14,-73.95353,-73.94353,40.792916500000004,40.8029165,True,False,[]
9@15,-73.95353,-73.94353,40.8029165,40.8129165,True,True,[188641]
9@16,-73.95353,-73.94353,40.8129165,40.8229165,True,True,"[152894, 188657]"
9@17,-73.95353,-73.94353,40.822916500000005,40.8329165,True,True,"[188695, 178411]"
9@18,-73.95353,-73.94353,40.8329165,40.8429165,True,True,[188667]
9@19,-73.95353,-73.94353,40.8429165,40.8529165,True,False,[]
9@20,-73.95353,-73.94353,40.852916500000006,40.862916500000004,False,False,[]
9@21,-73.95353,-73.94353,40.862916500000004,40.8729165,False,False,[]
9@22,-73.95353,-73.94353,40.8729165,40.8829165,False,False,[]
9@23,-73.95353,-73.94353,40.8829165,40.8929165,False,False,[]
9@24,-73.95353,-73.94353,40.892916500000005,40.9029165,False,False,[]
10@0,-73.94353000000001,-73.93353,40.6529165,40.6629165,False,False,[]
10@1,-73.94353000000001,-73.93353,40.6629165,40.6729165,False,False,[]
10@2,-73.94353000000001,-73.93353,40.67291650000001,40.682916500000005,False,False,[]
10@3,-73.94353000000001,-73.93353,40.682916500000005,40.6929165,False,False,[]
10@4,-73.94353000000001,-73.93353,40.6929165,40.7029165,False,False,[]
10@5,-73.94353000000001,-73.93353,40.7029165,40.7129165,False,False,[]
10@6,-73.94353000000001,-73.93353,40.712916500000006,40.722916500000004,False,False,[]
10@7,-73.94353000000001,-73.93353,40.722916500000004,40.7329165,False,False,[]
10@8,-73.94353000000001,-73.93353,40.7329165,40.7429165,False,False,[]
10@9,-73.94353000000001,-73.93353,40.74291650000001,40.752916500000005,False,False,[]
10@10,-73.94353000000001,-73.93353,40.752916500000005,40.7629165,False,True,[190459]
10@11,-73.94353000000001,-73.93353,40.7629165,40.7729165,True,False,[]
10@12,-73.94353000000001,-73.93353,40.7729165,40.7829165,True,False,[]
10@13,-73.94353000000001,-73.93353,40.782916500000006,40.792916500000004,True,False,[]
10@14,-73.94353000000001,-73.93353,40.792916500000004,40.8029165,True,True,[188661]
10@15,-73.94353000000001,-73.93353,40.8029165,40.8129165,True,True,[188659]
10@16,-73.94353000000001,-73.93353,40.8129165,40.8229165,True,False,[]
10@17,-73.94353000000001,-73.93353,40.822916500000005,40.8329165,True,True,[188669]
10@18,-73.94353000000001,-73.93353,40.8329165,40.8429165,True,False,[]
10@19,-73.94353000000001,-73.93353,40.8429165,40.8529165,True,True,[188673]
10@20,-73.94353000000001,-73.93353,40.852916500000006,40.862916500000004,True,True,[183603]
10@21,-73.94353000000001,-73.93353,40.862916500000004,40.8729165,True,False,[]
10@22,-73.94353000000001,-73.93353,40.8729165,40.8829165,False,False,[]
10@23,-73.94353000000001,-73.93353,40.8829165,40.8929165,False,False,[]
10@24,-73.94353000000001,-73.93353,40.892916500000005,40.9029165,False,False,[]
11@0,-73.93353,-73.92353,40.6529165,40.6629165,False,False,[]
11@1,-73.93353,-73.92353,40.6629165,40.6729165,False,False,[]
11@2,-73.93353,-73.92353,40.67291650000001,40.682916500000005,False,False,[]
11@3,-73.93353,-73.92353,40.682916500000005,40.6929165,False,False,[]
11@4,-73.93353,-73.92353,40.6929165,40.7029165,False,False,[]
11@5,-73.93353,-73.92353,40.7029165,40.7129165,False,False,[]
11@6,-73.93353,-73.92353,40.712916500000006,40.722916500000004,False,False,[]
11@7,-73.93353,-73.92353,40.722916500000004,40.7329165,False,False,[]
11@8,-73.93353,-73.92353,40.7329165,40.7429165,False,False,[]
11@9,-73.93353,-73.92353,40.74291650000001,40.752916500000005,False,False,[]
11@10,-73.93353,-73.92353,40.752916500000005,40.7629165,False,False,[]
11@11,-73.93353,-73.92353,40.7629165,40.7729165,False,False,[]
11@12,-73.93353,-73.92353,40.7729165,40.7829165,True,False,[]
11@13,-73.93353,-73.92353,40.782916500000006,40.792916500000004,True,False,[]
11@14,-73.93353,-73.92353,40.792916500000004,40.8029165,True,False,[]
11@15,-73.93353,-73.92353,40.8029165,40.8129165,True,False,[]
11@16,-73.93353,-73.92353,40.8129165,40.8229165,False,False,[]
11@17,-73.93353,-73.92353,40.822916500000005,40.8329165,False,False,[]
11@18,-73.93353,-73.92353,40.8329165,40.8429165,True,False,[]
11@19,-73.93353,-73.92353,40.8429165,40.8529165,True,True,[188665]
11@20,-73.93353,-73.92353,40.852916500000006,40.862916500000004,True,False,[]
11@21,-73.93353,-73.92353,40.862916500000004,40.8729165,True,False,[]
11@22,-73.93353,-73.92353,40.8729165,40.8829165,True,False,[]
11@23,-73.93353,-73.92353,40.8829165,40.8929165,False,False,[]
11@24,-73.93353,-73.92353,40.892916500000005,40.9029165,False,False,[]
12@0,-73.92353,-73.91353,40.6529165,40.6629165,False,False,[]
12@1,-73.92353,-73.91353,40.6629165,40.6729165,False,False,[]
12@2,-73.92353,-73.91353,40.67291650000001,40.682916500000005,False,False,[]
12@3,-73.92353,-73.91353,40.682916500000005,40.6929165,False,False,[]
12@4,-73.92353,-73.91353,40.6929165,40.7029165,False,False,[]
12@5,-73.92353,-73.91353,40.7029165,40.7129165,False,False,[]
12@6,-73.92353,-73.91353,40.712916500000006,40.722916500000004,False,False,[]
12@7,-73.92353,-73.91353,40.722916500000004,40.7329165,False,False,[]
12@8,-73.92353,-73.91353,40.7329165,40.7429165,False,False,[]
12@9,-73.92353,-73.91353,40.74291650000001,40.752916500000005,False,False,[]
12@10,-73.92353,-73.91353,40.752916500000005,40.7629165,False,False,[]
12@11,-73.92353,-73.91353,40.7629165,40.7729165,False,False,[]
12@12,-73.92353,-73.91353,40.7729165,40.7829165,False,True,[87557]
12@13,-73.92353,-73.91353,40.782916500000006,40.792916500000004,True,False,[]
12@14,-73.92353,-73.91353,40.792916500000004,40.8029165,True,False,[]
12@15,-73.92353,-73.91353,40.8029165,40.8129165,False,False,[]
12@16,-73.92353,-73.91353,40.8129165,40.8229165,False,False,[]
12@17,-73.92353,-73.91353,40.822916500000005,40.8329165,False,False,[]
12@18,-73.92353,-73.91353,40.8329165,40.8429165,False,True,[92169]
12@19,-73.92353,-73.91353,40.8429165,40.8529165,False,False,[]
12@20,-73.92353,-73.91353,40.852916500000006,40.862916500000004,True,False,[]
12@21,-73.92353,-73.91353,40.862916500000004,40.8729165,True,False,[]
12@22,-73.92353,-73.91353,40.8729165,40.8829165,True,True,[188617]
12@23,-73.92353,-73.91353,40.8829165,40.8929165,False,False,[]
12@24,-73.92353,-73.91353,40.892916500000005,40.9029165,False,False,[]
13@0,-73.91353000000001,-73.90353,40.6529165,40.6629165,False,False,[]
13@1,-73.91353000000001,-73.90353,40.6629165,40.6729165,False,False,[]
13@2,-73.91353000000001,-73.90353,40.67291650000001,40.682916500000005,False,False,[]
13@3,-73.91353000000001,-73.90353,40.682916500000005,40.6929165,False,False,[]
13@4,-73.91353000000001,-73.90353,40.6929165,40.7029165,False,False,[]
13@5,-73.91353000000001,-73.90353,40.7029165,40.7129165,False,False,[]
13@6,-73.91353000000001,-73.90353,40.712916500000006,40.722916500000004,False,False,[]
13@7,-73.91353000000001,-73.90353,40.722916500000004,40.7329165,False,False,[]
13@8,-73.91353000000001,-73.90353,40.7329165,40.7429165,False,False,[]
13@9,-73.91353000000001,-73.90353,40.74291650000001,40.752916500000005,False,False,[]
13@10,-73.91353000000001,-73.90353,40.752916500000005,40.7629165,False,False,[]
13@11,-73.91353000000001,-73.90353,40.7629165,40.7729165,False,False,[]
13@12,-73.91353000000001,-73.90353,40.7729165,40.7829165,False,False,[]
13@13,-73.91353000000001,-73.90353,40.782916500000006,40.792916500000004,False,False,[]
13@14,-73.91353000000001,-73.90353,40.792916500000004,40.8029165,False,False,[]
13@15,-73.91353000000001,-73.90353,40.8029165,40.8129165,False,False,[]
13@16,-73.91353000000001,-73.90353,40.8129165,40.8229165,False,False,[]
13@17,-73.91353000000001,-73.90353,40.822916500000005,40.8329165,False,False,[]
13@18,-73.91353000000001,-73.90353,40.8329165,40.8429165,False,False,[]
13@19,-73.91353000000001,-73.90353,40.8429165,40.8529165,False,False,[]
13@20,-73.91353000000001,-73.90353,40.852916500000006,40.862916500000004,False,False,[]
13@21,-73.91353000000001,-73.90353,40.862916500000004,40.8729165,True,False,[]
13@22,-73.91353000000001,-73.90353,40.8729165,40.8829165,True,False,[]
13@23,-73.91353000000001,-73.90353,40.8829165,40.8929165,False,False,[]
13@24,-73.91353000000001,-73.90353,40.892916500000005,40.9029165,False,False,[]
14@0,-73.90353,-73.89353,40.6529165,40.6629165,False,False,[]
14@1,-73.90353,-73.89353,40.6629165,40.6729165,False,False,[]
14@2,-73.90353,-73.89353,40.67291650000001,40.682916500000005,False,False,[]
14@3,-73.90353,-73.89353,40.682916500000005,40.6929165,False,False,[]
14@4,-73.90353,-73.89353,40.6929165,40.7029165,False,False,[]
14@5,-73.90353,-73.89353,40.7029165,40.7129165,False,False,[]
14@6,-73.90353,-73.89353,40.712916500000006,40.722916500000004,False,False,[]
14@7,-73.90353,-73.89353,40.722916500000004,40.7329165,False,False,[]
14@8,-73.90353,-73.89353,40.7329165,40.7429165,False,False,[]
14@9,-73.90353,-73.89353,40.74291650000001,40.752916500000005,False,False,[]
14@10,-73.90353,-73.89353,40.752916500000005,40.7629165,False,False,[]
14@11,-73.90353,-73.89353,40.7629165,40.7729165,False,False,[]
14@12,-73.90353,-73.89353,40.7729165,40.7829165,False,False,[]
14@13,-73.90353,-73.89353,40.782916500000006,40.792916500000004,False,False,[]
14@14,-73.90353,-73.89353,40.792916500000004,40.8029165,False,False,[]
14@15,-73.90353,-73.89353,40.8029165,40.8129165,False,False,[]
14@16,-73.90353,-73.89353,40.8129165,40.8229165,False,False,[]
14@17,-73.90353,-73.89353,40.822916500000005,40.8329165,False,False,[]
14@18,-73.90353,-73.89353,40.8329165,40.8429165,False,True,[172111]
14@19,-73.90353,-73.89353,40.8429165,40.8529165,False,False,[]
14@20,-73.90353,-73.89353,40.852916500000006,40.862916500000004,False,False,[]
14@21,-73.90353,-73.89353,40.862916500000004,40.8729165,False,False,[]
14@22,-73.90353,-73.89353,40.8729165,40.8829165,False,False,[]
14@23,-73.90353,-73.89353,40.8829165,40.8929165,False,False,[]
14@24,-73.90353,-73.89353,40.892916500000005,40.9029165,False,False,[]
15@0,-73.89353,-73.88353,40.6529165,40.6629165,False,False,[]
15@1,-73.89353,-73.88353,40.6629165,40.6729165,False,False,[]
15@2,-73.89353,-73.88353,40.67291650000001,40.682916500000005,False,False,[]
15@3,-73.89353,-73.88353,40.682916500000005,40.6929165,False,False,[]
15@4,-73.89353,-73.88353,40.6929165,40.7029165,False,False,[]
15@5,-73.89353,-73.88353,40.7029165,40.7129165,False,False,[]
15@6,-73.89353,-73.88353,40.712916500000006,40.722916500000004,False,False,[]
15@7,-73.89353,-73.88353,40.722916500000004,40.7329165,False,False,[]
15@8,-73.89353,-73.88353,40.7329165,40.7429165,False,False,[]
15@9,-73.89353,-73.88353,40.74291650000001,40.752916500000005,False,False,[]
15@10,-73.89353,-73.88353,40.752916500000005,40.7629165,False,False,[]
15@11,-73.89353,-73.88353,40.7629165,40.7729165,False,False,[]
15@12,-73.89353,-73.88353,40.7729165,40.7829165,False,False,[]
15@13,-73.89353,-73.88353,40.782916500000006,40.792916500000004,False,False,[]
15@14,-73.89353,-73.88353,40.792916500000004,40.8029165,False,False,[]
15@15,-73.89353,-73.88353,40.8029165,40.8129165,False,False,[]
15@16,-73.89353,-73.88353,40.8129165,40.8229165,False,False,[]
15@17,-73.89353,-73.88353,40.822916500000005,40.8329165,False,False,[]
15@18,-73.89353,-73.88353,40.8329165,40.8429165,False,False,[]
15@19,-73.89353,-73.88353,40.8429165,40.8529165,False,False,[]
15@20,-73.89353,-73.88353,40.852916500000006,40.862916500000004,False,True,"[92171, 90269]"
15@21,-73.89353,-73.88353,40.862916500000004,40.8729165,False,False,[]
15@22,-73.89353,-73.88353,40.8729165,40.8829165,False,True,[174933]
15@23,-73.89353,-73.88353,40.8829165,40.8929165,False,False,[]
15@24,-73.89353,-73.88353,40.892916500000005,40.9029165,False,False,[]
